canonical_name,paper_count,raw_variants
Mohammed Saqr,247,M. Saqr; Mohamed Saqr
Sonsoles López-Pernas,159,Sonosles López-Pernas; Sonsoles Lopez-Pernas; Sonsoles LÃ³pez-Pernas
Matti Tedre,30,
Kamila Misiejuk,23,
Mikko Apiola,21,Mikko Apioia
Jalal Nouri,18,
Miguel Ángel Conde,17,Miguel A. Conde; Miguel Angel Conde; Miguel Á. Conde; Miguel Ángel Conde González; Miguel Ángel Conde-González
Laura Hirsto,14,
Olga Viberg,13,
Rogers Kaliisa,13,
Santtu Tikka,13,
Jonna Malmberg,12,
Teemu Valtonen,11,
Ramy Elmoazen,10,
Uno Fors,10,
Henriikka Vartiainen,9,
Erkko Sointu,8,Erkko Tapio Sointu
Keefe Murphy,8,
Miroslava Raspopović Milić,8,Miroslava Raspopovic Milic
Sami Heikkinen,8,S. Heikkinen
Eduardo Oliveira,7,Eduardo Araujo Oliveira
Leonie V.D.E. Vogelsmeier,7,Leonie V. D. E. Vogelsmeier
Markku Tukiainen,7,
Sanna Väisänen,7,
Enrique Barra,6,
Jelena Jovanović,6,Jelena Jovanovic
Tiina Törmänen,6,
Hanna Järvenoja,5,
Juho Kahila,5,
Mohammad Khalil,5,
Oleksandra Poquet,5,
Sanna Järvelä,5,
Satu Helske,5,
Ángel Hernández-García,5,Angel Hernández-García; Ángel Hernández García
Ahmed Tlili,4,
Aldo Gordillo,4,
Arnold Pears,4,
Dragan Gašević,4,
Fitsum G. Deriba,4,Fitsum Gizachew Deriba
Juho Kopra,4,
Merja Heinäniemi,4,
Nicolas Pope,4,Nicholas Pope
Sofia Schöbel,4,
Ward Peeters,4,Ward Peteers
Andreas Janson,3,
Barbara Wasson,3,
Daryn Dever,3,
Katina Pancheva,3,
Lauri Malmi,3,
Mats Daniels,3,
Stefan Hrastinski,3,
Ville Tuominen,3,
Yige Song,3,
Ad Kleingeld,2,A. Kleingeld
Ahmad Alamro,2,
Amjad Alharbi,2,
Avi Kaplan,2,
Bodong Chen,2,
Chris Snijders,2,C. Snijders
Christophe Gernigon,2,
Crina Damşa,2,Crina Damsa
Elitsa Peltekova,2,Elitsa V. Peltekova
Emorie Beck,2,Emorie D Beck
Gwen Marchand,2,
Halil Kayaduman,2,
Hesham Ahmed,2,
Hibiki Ito,2,
Jan Marco Leimeister,2,
Jari Laru,2,
Javier Conde,2,
Jenni Kankaanpää,2,
Joran Jongerling,2,
Jouni Helske,2,
Jovana Jovic,2,
Ken Larsson,2,
Kwok Ng,2,
Luca Scrucca,2,
Marya Alsuhaibani,2,
Matthias Söllner,2,
Olga Pavlović,2,Olga Pavlovic
Ronghuai Huang,2,
Soheil Salha,2,
Solomon Oyelere,2,Solomon sunday Oyelere
Susanne Hallberg,2,
Teemu Roos,2,
Teija Paavilainen,2,
Tudor Cristea,2,T.S. Cristea
Uwe Matzat,2,U. Matzat
Yazid Albadarin,2,Yazid AlBadarin
Abdullah Alamer,1,
Abdulrahman Al-Mohaimeed,1,
Adriana Gamazo,1,
Adrienne Traxler,1,
Alexandra Santamaría-Urbieta,1,
Alicia García-Holgado,1,
Ana María Balbín,1,
Anni Tarkiainen,1,
Anni Wärri,1,
Anuschka Schmitt,1,
Atanas Georgiev,1,
Bastian Kordyaka,1,
Brett A. Becker,1,
Calkin Suero Montero,1,
Carlos Cuenca-Enrique,1,
Carlos J. Villagrá-Arnedo,1,
Daniel Amo-Filva,1,
Daniel López-Fernández,1,
Daria Mizza,1,
David Fonseca,1,
David H. Lewis,1,
David Patterson,1,
Dennis Benner,1,
Dezhi Wu,1,
Dirk Ifenthaler,1,
Dwi Rahayu,1,
Eetu Haataja,1,
Einari A. Niskanen,1,
Elisa Silvennoinen,1,
Emilija Kisić,1,
Erkan Er,1,
Eva-Maria Zahn,1,
Francisco José García-Peñalvo,1,
Friday Joseph Agbo,1,
Gabriele Stupuriene,1,
Georgios Lampropoulos,1,
Gilbert Ritschard,1,
Gökhan Akçapınar,1,
Han Jiang,1,
Haochen Yan,1,
