canonical_institution,country,paper_count,raw_variants_count,raw_variants
University of Eastern Finland,Finland,210,69,"Faculty of Philosophy, School of Applied Educational Science and Teacher Education, University of Eastern Finland, Joensuu, Finland | Faculty of Science and Forestry, School of Computing, University of Eastern Finland, Joensuu, Finland | Faculty of Social Sciences and Business Studies, Law School, University of Eastern Finland, Joensuu, Finland | Facuty of Science, Forestry and Technology, School of Computing, University of Eastern Finland, Joensuu, Finland | Institute of Biomedicine, University of Eastern Finland, Kuopio, Finland | Law School, University of Eastern Finland, Joensuu, 80100, Finland | School of Applied Educational Science and Teacher Education, University of Eastern Finland, Joensuu, 80100, Finland | School of Applied Educational Science and Teacher Education, University of Eastern Finland, Joensuu, 80101, Finland | School of Applied Educational Science and Teacher Education, University of Eastern Finland, Joensuu, Finland | School of Applied Educational Science and Teacher Education, University of Eastern Finland, Joensuu, Yliopistokatu 2, Joensuu, fi-80100, Finland | School of Applied Educational Science and Teacher Education, University of Eastern Finland, Yliopistonkatu 2, Joensuu, 80100, Finland | School of Computing, The University of Eastern Finland, Yliopistonkatu 2, Joensuu, 80100, Finland | School of Computing, University of Eastern Finland, Finland | School of Computing, University of Eastern Finland, Joensuu Campus Yliopistokatu 2, Joensuu, FI-80100, Finland | School of Computing, University of Eastern Finland, Joensuu Campus, Joensuu, 80100, Finland | School of Computing, University of Eastern Finland, Joensuu Campus, Joensuu, Finland | School of Computing, University of Eastern Finland, Joensuu Campus, Vliopistokatu 2, P.O. Box 111, Joensuu, 80101, Finland | School of Computing, University of Eastern Finland, Joensuu Campus, Yliopistokatu 2, Joensuu, 80100, Finland | School of Computing, University of Eastern Finland, Joensuu Campus, Yliopistokatu 2, Joensuu, FI-80100, Finland | School of Computing, University of Eastern Finland, Joensuu Campus, Yliopistokatu 2, Joensuu, fi-80100, Finland | School of Computing, University of Eastern Finland, Joensuu Campus, Yliopistokatu 2, P.O. Box 111, Joensuu, fi-80100, Finland | School of Computing, University of Eastern Finland, Joensuu, 80100, Finland | School of Computing, University of Eastern Finland, Joensuu, 80101, Finland | School of Computing, University of Eastern Finland, Joensuu, Finland | School of Computing, University of Eastern Finland, Joensuu, Yliopistokatu 2, Joensuu, 80100, Finland | School of Computing, University of Eastern Finland, Joensuu, Yliopistokatu 2, Joensuu, fi-80100, Finland | School of Computing, University of Eastern Finland, Kuopio, Finland | School of Computing, University of Eastern Finland, PO Box 111, Joensuu, Finland | School of Computing, University of Eastern Finland, Yliopistokatu 2, Joensuu, 80100, Finland | School of Computing, University of Eastern Finland, Yliopistokatu 2, Joensuu, FI‐80100, Finland | School of Computing, University of Eastern Finland, Yliopistonkatu 2, Joensuu, 80100, Finland | School of Computing, University of eastern Finland, Joensuu campus, Yliopistokatu 2, Joensuu, fi-80100, Finland | School of Educational Sciences and Psychology, University of Eastern Finland, Joensuu, Finland | School of Educational Sciences and Psychology/Special Education, University of Eastern Finland, Joensuu, Finland | Special Education, School of Educational Sciences and Psychology, University of Eastern Finland, Joensuu, Finland | The University of Eastern Finland, School of Computing, Yliopistonkatu 2, Joensuu, 80100, Finland | University of Eastern Finland | University of Eastern Finland, Applied Educational Science and Teacher Education, Finland | University of Eastern Finland, Faculty of Science and Forestry, School of Computing, Joensuu, 80101, Finland | University of Eastern Finland, Finland | University of Eastern Finland, Institute of Biomedicine, Yliopistonranta 1E, Kuopio, 70210, Finland | University of Eastern Finland, Joensuu, 80100, Finland | University of Eastern Finland, Joensuu, 80110, Finland | University of Eastern Finland, Joensuu, FI-80100, Finland | University of Eastern Finland, Joensuu, Finland | University of Eastern Finland, Kuopio, Finland | University of Eastern Finland, Länsikatu 15, Joensuu, 80110, Finland | University of Eastern Finland, Philosophical Faculty, School of Educational Sciences and Psychology, Joensuu, 80101, Finland | University of Eastern Finland, School of Applied Educational Science and Teacher Education, Joensuu, Finland | University of Eastern Finland, School of Applied Educational Science and Teacher Education, Joensuu, Yliopistokatu 2, Joensuu, 80100, Finland | University of Eastern Finland, School of Applied Educational Science and Teacher Education, Joensuu, Yliopistokatu 2, Joensuu, fi-80100, Finland | University of Eastern Finland, School of Applied Educational Science and Teacher Education, Philosophical Faculty, Finland | University of Eastern Finland, School of Computing, Faculty of Science and Forestry, Finland | University of Eastern Finland, School of Computing, Finland | University of Eastern Finland, School of Computing, Joensuu Campus, Yliopistokatu 2, Joensuu, fi-80100, Finland | University of Eastern Finland, School of Computing, Joensuu campus, P.O. Box 111, Yliopistokatu 2, Joensuu, Joensuu, fi-80100, Finland | University of Eastern Finland, School of Computing, Joensuu, 80101, Finland | University of Eastern Finland, School of Computing, Joensuu, Finland | University of Eastern Finland, School of Computing, Joensuu, Yliopistokatu 2, Joensuu, 80100, Finland | University of Eastern Finland, School of Computing, Joensuu, Yliopistokatu 2, Joensuu, fi-80100, Finland | University of Eastern Finland, School of Computing, P.O. Box 111, Joensuu, FI-80101, Finland | University of Eastern Finland, School of Computing, Yliopistokatu 2, Joensuu, 80100, Finland | University of Eastern Finland, School of Computing, Yliopistokatu 2, Joensuu, FI-80100, Finland | University of Eastern Finland, School of Educational Sciences and Psychology, Joensuu, Finland | University of Eastern Finland, Yliopistokatu 2, Joensuu, 80100, Finland | University of Eastern Finland, Yliopistokatu 2, Joensuu, 80110, Finland | University of Eastern Finland, Yliopistokatu-2, Joensuu, 80100, Finland | University of eastern Finland, Philosophical Faculty, School of Applied Educational Science and Teacher Education, Yliopistokatu 2, fi, Joensuu, 80100, Finland | University of eastern Finland, School of Computing, Joensuu, Yliopistokatu 2, fi, Joensuu, 80100, Finland"
Universidad Politécnica de Madrid,Spain,39,21,"Departamento de Ingeniería de Sistemas Telemáticos, ETSI Telecomunicación, Universidad Politécnica de Madrid, Avda. Complutense 30, Madrid, 28003, Spain | Departamento de Ingeniería de Sistemas Telemáticos, ETSI Telecomunicación, Universidad Politécnica de Madrid, Madrid, Spain | Departamento de Sistemas Informáticos, ETSI Sistemas Informáticos, Universidad Politécnica de Madrid, Madrid, 28040, Spain | Departamento de Sistemas Informáticos, ETSI Sistemas Informáticos, Universidad Politécnica de Madrid, Madrid, Spain | Departamento de Sistemas Informáticos, ETSI Sistemas Informáticos, Universidad Politécnica de Madrid, Spain | Departamento de Sistemas Informáticos, ETSI Sistemas Informáticos, Universidad Politécnica de Madrid, c/ Alan Turing s/n, Madrid, 28031, Spain | Departamento de Sistemas Informáticos, ETSI Sistemas Informáticos, Universidad Politécnica de Madrid, c/ Alan Turing, s/n, Madrid, 28031, Spain | Departamento de Sistemas Informáticos, Etsi Sistemas Informáticos, Universidad Politécnica de Madrid, Madrid, 28031, Spain | Departamento de Sistemas Informáticos, Universidad Politécnica de Madrid, ETSI Sistemas Informáticos, c/ Alan Turing s/n, Madrid, 28031, Spain | Departamento de Sistemas Informáticos, Universidad Politécnica de Madrid, ETSI Sistemas Informáticos, c/ Alan Turing, s/n, Madrid, 28031, Spain | Polytechnic University of Madrid, Madrid, Spain | Technical University of Madrid | Univerisidad Politécnica de Madrid, Av. Complutense 30, Madrid, 28040, Spain | Universidad Politécnica de Madrid, Av. Complutense 30, Madrid, 28040, Spain | Universidad Politécnica de Madrid, Departamento de Ingeniería de Sistemas Telemáticos, Spain | Universidad Politécnica de Madrid, ETSI Sistemas Informáticos, Departamento de Sistemas Informáticos, C/ Alan Turing s/n, Madrid, 28031, Spain | Universidad Politécnica de Madrid, ETSI Sistemas Informáticos, Departamento de Sistemas Informáticos, Madrid, 28031, Spain | Universidad Politécnica de Madrid, ETSI Telecomunicación, Departamento de Ingeniería de Sistemas Telemáticos, Avda. Complutense 30, Madrid, 28040, Spain | Universidad Politécnica de Madrid, ETSI Telecomunicación, Madrid, Spain | Universidad Politécnica de Madrid, Madrid, 28040, Spain | Universidad Politécnica de Madrid, Madrid, Spain"
KTH Royal Institute of Technology,Sweden,25,17,"Department of Learning in Engineering Sciences, KTH Royal Institute of Technology, Oscars Backe 31, Stockholm, 10044, Sweden | Department of Media Technology and Interaction Design, KTH Royal Institute of Technology, Lindstedsvägen 3, Stockholm, 10044, Sweden | EECS - School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Lindstedtsvägen 3, Stockholm, 100 44, Sweden | EECS - School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Lindstedtsvägen 3, Stockholm, SE-100 44, Sweden | EECS - School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden | EECS - School of Electrical Engineering and Computer Science, Media Technology & Interaction Design, KTH Royal Institute of Technology, Lindstedtsvägen 3, Stockholm, SE-100 44, Sweden | EECS - School of Electrical Engineering and Computer Science, Media Technology Interaction Design, KTH Royal Institute of Technology, Stockholm, Sweden | EECS‐School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Lindstedtsvägen 3, Stockholm, SE‐100 44, Sweden | KTH Royal Institute of Technology | KTH Royal Institute of Technology, Division of Digital Learning, Lindstedtsvägen 30, Stockholm, SE-100 44, Sweden | KTH Royal Institute of Technology, EECS - School of Electrical Engineering and Computer Science, Lindstedtsvägen 3, SE-100 44 Stockholm, Sweden | KTH Royal Institute of Technology, Lindstedsvägen 3, Stockholm, 10044, Sweden | KTH Royal Institute of Technology, School of Industrial Technology and Management, Stockholm, 10044, Sweden | KTH Royal Institute of Technology, Stockholm, 100 44, Sweden | KTH Royal Institute of Technology, Stockholm, Sweden | KTH Royal Institute of Technology, Sweden | School of Electrical Engineering and Computer Science, Media Technology & Interaction Design, KTH Royal Institute of Technology, Lindstedtsvägen 3, Stockholm, SE-100 44, Sweden"
Stockholm University,Sweden,19,12,"Department of Computer and System Sciences (DSV), Stockholm University, Borgarfjordsgatan 12 PO Box 7003, Kista, SE-164 07, Sweden | Department of Computer and System Sciences (DSV), Stockholm University, Borgarfjordsgatan 12, Kista, SE-164 07, Sweden | Department of Computer and System Sciences (DSV), Stockholm University, Borgarfjordsgatan 12, PO Box 7003, Kista, SE-164 07, Sweden | Department of Computer and System Sciences (DSV), Stockholm University, Borgarfjordsgatan 12, Stockholm, SE-164 07, Sweden | Department of Computer and System Sciences (DSV), Stockholm University, Kista, Stockholm, Sweden | Department of Computer and System Sciences (DSV), Stockholm University, Kista, Sweden | Department of Computer and Systems Science, Stockholm University, Stockholm, Sweden | Department of Computer and Systems Sciences, Stockholm University, Stockholm, Sweden | Stockholm University | Stockholm University - Department of Computer and System Sciences (DSV), Borgarfjordsgatan 12, Kista, PO Box 7003, Stockholm, 164 07, Sweden | Stockholm University, Stockholm, Sweden | Stockholm University, Sweden"
University of Oulu,Finland,15,12,"Department of Educational Sciences and Teacher Education, Faculty of Education, University of Oulu, P.O. Box 2000, Oulu, Finland | Department of Educational Sciences and Teacher Education, Learning and Educational Technology Research Unit (LET), Pentti Kaiteran katu 1, P.O. Box 8000, Oulu, Finland | Department of Educational Sciences and Teacher Education, The University of Oulu, Oulu, Finland | Department of Educational Sciences and Teacher Education, The University of Oulu, P.O Box 2000, Oulu, 90014, Finland | Department of Educational Sciences and Teacher Education, University of Oulu, Oulu, Finland | Faculty of Education & Psychology, University of Oulu, Finland | Faculty of Education, University of Oulu, Oulu, Finland | Learning and Educational Technology Research Lab (LET Lab), Faculty of Education and Psychology, University of Oulu, P.O.Box 8000, Oulu, FI-90014, Finland | Learning and Educational Technology Research Unit, Faculty of Education, University of Oulu, Oulu, Finland | University of Oulu | University of Oulu, Faculty of Educational Sciences and Psychology, Oulu, Finland | University of Oulu, Oulu, Finland"
University of Turku,Finland,14,10,"Department of Computing, University of Turku, Turku, Finland | Department of Social Research, University of Turku, Turku, Finland | INVEST Research Flagship Center & Department of Social Research, University of Turku, Turku, Finland | INVEST Research Flagship Centre, University of Turku, Turku, Finland | University of Turku | University of Turku, Department of Computing, Finland | University of Turku, Department of Computing, Turku, 20500, Finland | University of Turku, INVEST Research Flagship Center & Department of Social Research, Turun Yliopisto, Turku, FI-20014, Finland | University of Turku, Institute of Biomedicine, Kiinamyllynkatu 10, Turku, 20500, Finland | University of Turku, Turku, Finland"
University of Jyväskylä,Finland,13,5,"Department of Mathematics and Statistics, University of Jyväskylä, Finland | Department of Mathematics and Statistics, University of Jyväskylä, Jyväskylä, Finland | Department of Mathematics and Statistics, University of Jyväskylä, Jyväskylän, Finland | University of Jyväskylä, Faculty of Education and Psychology, Jyväskylän Yliopisto, PL 35, Jyväskylä, 40014, Finland | University of Jyväskylä, Jyväskylä, Finland"
University of León,Spain,13,9,"Department of Mechanics, Computer Science and Aerospace Engineering, Robotics Group, Universidad de León, Campus de Vegazana S/N, León, 24071, Spain | Department of Mechanics, Computer Science and Aerospace Engineering, Robotics Group, Universidad de León, León, Spain | Robotics Research Group, Engineering School, University of León, León, 24071, Spain | Robotics Research Group, Engineering School, University of León, León, Spain | University of León, Campus de Vegazana s/n, León, 24071, Spain | University of León, Computer Science and Artificial Intelligence Department, León, 24004, Spain | University of León, Engineering School, Campus de Vegazana S/N, León, 24071, Spain | University of León, Escuela de Ingenierías, Campus de Vegazana S/N, León, 24071, Spain | University of León, León, Spain"
Qassim University,Saudi Arabia,11,5,"College of Medicine, Qassim University, PO Box: 6655, Qassim, 51452, Saudi Arabia | College of Medicine, Qassim University, Qassim, Saudi Arabia | Qassim University | Qassim University, College of Medicine, Qassim, Melida, Saudi Arabia | Qassim University, Melida, Saudi Arabia"
University of Bergen,Norway,11,7,"Center for Science of Learning & Technology, University of Bergen, Norway | Centre for the Science of Learning & Technology (SLATE), University of Bergen, Bergen, Norway | Centre for the Science of Learning & Technology (SLATE), University of Bergen, Norway | Centre for the Science of Learning and Technology (SLATE), University of Bergen, Bergen, Norway | Centre for the Science of Learning and Technology (SLATE), University of Bergen, Norway | Slate, University of Bergen, Bergen, Norway | University of Bergen"
